technology,group,parameters,technology-entry,description
gas_1,,,,Natural gas resource.
gas_2,,,,Natural gas resource.
gas_3,,,,Natural gas resource.
gas_4,,,,Natural gas resource.
Gas|Conventional,,,,Reporting aggregate for gas resources.
gas_5,,,,Natural gas resource.
gas_6,,,,Natural gas resource.
gas_7,,,,Natural gas resource.
gas_8,,,,Natural gas resource.
Gas|Unconventional,,,,Reporting aggregate for gas resources.
_Gas,,,,"Reporting aggregate for gas resources. The ID is prefixed with an underscore to distinguish from ""gas"", which is not a component."
hydrogen,,,,
lh2,,,,
lightoil,,,,"Includes gasoline, diesel oil."
lignite,,,,
_Coal,,,,"Reporting aggregate for coal resources. The ID is prefixed with an underscore to distinguish from ""coal"", which is only 1 of multiple children."
methanol,,,,
non-comm,,,,
rc_spec,,,,
rc_therm,,,,
transport,,,,"For MESSAGEix-Transport, this commodity is not used; it is replaced by a disaggregated set of transport service demands (representing e.g. light- duty vehicles, civil aviation, freight transport, etc.)"
uranium,,,,Uranium resource.
_Uranium,,,,Reporting aggregate for uranium resources.
BCA,,,,
CH4,,,,
CO,,,,
CO2,,,,
N2O,,,,
NH3,,,,
NOx,,,,
OCA,,,,
SO2,,,,
TCE,,,,
VOC,,,,
export,,,,
final,,,,"Represents end-use demands of the end-use sectors (e.g. industry, transport, residential, commercial and agriculture)."
import,,,,
primary,,,,A form found in nature that has not been subjected to any human engineered conversion process.
secondary,,,,Forms which have been transformed from primary energy.
useful,,,,Represents energy-service demands (or activity levels) of the end-use sectors in non-energy units.
water_supply,,,,FIXME provide an unambiguous description of what this level represents.
CF4_TCE,,,,Tetrafluoromethane (CF4) Total Carbon Emissions
CH4_TCE,,,,Methane total carbon equivalent emissions
